employee_id,name,department,kpi_score,attendance_percent,last_training_date,attendance_category
E0001,Jordan Thomas,Finance,79.4,82.5,2025-06-03,Medium
E0002,Reese Rodriguez,Support,80.24,72.8,2025-03-24,Low
E0003,Jamie Moore,HR,77.76,95.4,2025-07-03,High
E0004,Jordan Wilson,Sales,60.87,85.8,2025-07-12,Medium
E0005,Casey Johnson,Sales,51.9,84.0,2024-11-22,Medium
E0006,Quinn Martin,Engineering,75.54,81.8,2025-07-16,Medium
E0007,Blake Thomas,Sales,70.28,89.7,2025-01-18,Medium
E0008,Blake Thomas,Marketing,79.59,89.1,2024-11-02,Medium
E0009,Quinn Williams,Sales,82.02,94.6,2024-11-22,High
E0010,Logan Martinez,HR,76.38,86.0,2025-03-04,Medium
E0011,Quinn Davis,Finance,82.6,93.2,2025-06-04,High
E0012,Morgan Jackson,Marketing,77.29,74.7,2024-09-08,Low
E0013,Parker Gonzalez,Engineering,80.3,89.9,2024-10-13,Medium
E0014,Jamie Taylor,Operations,67.95,85.1,2025-01-02,Medium
E0015,Quinn Rodriguez,Finance,73.2,70.5,2025-07-13,Low
E0016,Drew Jones,Finance,76.97,84.2,2025-08-01,Medium
E0017,Jordan Lopez,Sales,83.21,82.5,2025-04-20,Medium
E0018,Skyler Johnson,Sales,71.06,86.8,2025-06-17,Medium
E0019,Skyler Taylor,Support,80.21,95.4,2024-10-03,High
E0020,Riley Gonzalez,Engineering,72.34,98.5,2025-05-30,High
E0021,Morgan Thomas,Engineering,73.82,86.2,2025-05-02,Medium
E0022,Blake Davis,Engineering,83.3,85.9,2024-08-22,Medium
E0023,Jordan Martin,Marketing,55.07,95.2,2024-10-19,High
E0024,Jamie Moore,Support,62.04,79.6,2025-05-26,Medium
E0025,Reese Thomas,Engineering,60.18,86.1,2025-03-27,Medium
E0026,Parker Brown,Support,51.66,94.9,2025-02-06,High
E0027,Avery Martinez,Sales,68.22,94.1,2024-12-14,High
E0028,Drew Smith,HR,82.49,85.0,2024-09-06,Medium
E0029,Quinn Brown,Marketing,72.15,98.7,2024-09-30,High
E0030,Blake Wilson,Sales,76.98,78.2,2024-08-22,Medium
E0031,Elliot Anderson,Sales,85.89,77.9,2025-07-30,Medium
E0032,Avery Martin,Engineering,88.28,87.2,2025-05-19,Medium
E0033,Jamie Miller,Support,74.31,95.0,2025-01-20,High
E0034,Elliot Davis,Marketing,88.54,96.9,2025-07-27,High
E0035,Jordan Martinez,Support,75.92,88.7,2025-04-06,Medium
E0036,Parker Brown,Operations,66.63,85.3,2025-06-18,Medium
E0037,Drew Williams,Engineering,69.06,96.0,2024-09-07,High
E0038,Reese Martinez,Operations,60.19,87.9,2025-07-21,Medium
E0039,Cameron Jones,Sales,66.12,85.9,2025-06-20,Medium
E0040,Rowan Wilson,Sales,71.42,74.9,2025-06-03,Low
E0041,Elliot Rodriguez,Operations,83.04,84.3,2025-06-20,Medium
E0042,Morgan Taylor,Operations,92.21,95.5,2025-01-18,High
E0043,Hayden Anderson,Engineering,61.18,95.0,2025-04-03,High
E0044,Jordan Miller,HR,78.93,97.2,2024-09-14,High
E0045,Parker Taylor,Marketing,64.59,84.6,2025-05-10,Medium
E0046,Jamie Taylor,Operations,79.75,90.0,2025-01-29,High
E0047,Logan Davis,Marketing,73.69,96.3,2024-12-16,High
E0048,Skyler Garcia,Engineering,56.69,93.0,2024-12-28,High
E0049,Casey Wilson,Engineering,84.28,95.4,2024-10-27,High
E0050,Hayden Williams,Engineering,68.95,90.0,2025-06-01,High
E0051,Logan Brown,Marketing,69.66,94.1,2025-02-09,High
E0052,Logan Smith,Operations,64.3,95.4,2024-10-25,High
E0053,Parker Thomas,Engineering,68.46,82.9,2024-10-02,Medium
E0054,Parker Wilson,Engineering,79.28,74.0,2024-12-31,Low
E0055,Drew Anderson,Engineering,73.11,96.0,2024-12-19,High
E0056,Riley Thomas,Finance,78.29,83.2,2024-10-02,Medium
E0057,Rowan Martinez,Operations,78.62,90.9,2024-12-28,High
E0058,Quinn Lopez,Sales,88.21,87.1,2024-09-01,Medium
E0059,Alex Williams,Sales,71.57,89.7,2025-06-28,Medium
E0060,Casey Williams,Marketing,60.23,93.0,2025-04-09,High
E0061,Jamie Wilson,Sales,85.67,96.7,2025-07-04,High
E0062,Reese Martinez,Operations,71.69,82.2,2025-07-11,Medium
E0063,Skyler Lopez,Engineering,86.15,96.2,2025-02-22,High
E0064,Jordan Thomas,Sales,78.83,88.6,2025-05-23,Medium
